ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
46605
ITEM: BOX BOUNDS pp pp ff
0.0000000000000000e+00 7.5204971283511398e+01
0.0000000000000000e+00 7.6781222183235400e+01
0.0000000000000000e+00 1.2000000000000000e+02
ITEM: ATOMS id type c_pot c_ket
228 1 -9.09892 0.00712866
229 1 -8.01783 0.0576106
230 1 -10.8956 0.129628
231 1 -9.58708 0.0268353
232 1 -9.48143 0.0301864
233 2 -35.7187 0.0126921
235 2 -35.8903 0.00636626
236 2 -30.1478 0.011256
237 3 -8.55072 0.0780494
238 3 -8.41226 0.0175857
239 3 -9.98529 0.0098877
240 3 -7.57823 0.0342672
241 3 -7.9274 0.0376646
242 3 -8.58504 0.104009
243 3 -8.87763 0.00641447
244 3 -8.791 0.0189024
245 3 -8.45157 0.0985206
246 3 -5.55912 0.00348086
247 3 -8.4662 0.0195818
249 3 -9.11396 0.00602987
251 3 -8.23611 0.0650133
252 3 -11.9673 0.0620742
674 1 -8.77878 0.152539
678 1 -9.15162 0.014498
679 1 -9.1132 0.0284211
683 2 -34.1559 0.0150767
688 3 -9.62599 0.0140322
691 3 -8.45295 0.0491806
694 3 -7.08946 0.0182693
695 3 -8.45944 0.049118
699 3 -9.22813 0.00439892
256 1 -8.80742 0.119754
257 1 -9.69918 0.00477187
258 1 -10.4909 0.0147082
259 1 -9.10039 0.0143483
260 1 -9.09745 0.126685
261 2 -34.6158 0.00425259
263 2 -37.659 0.00504494
264 2 -29.4749 0.0702516
265 3 -8.55903 0.0266849
266 3 -8.81877 0.0268203
267 3 -10.5574 0.0727604
268 3 -7.28183 0.14606
269 3 -10.0001 0.0331682
270 3 -7.82304 0.0698308
271 3 -8.92391 0.113437
272 3 -9.26086 0.00444389
273 3 -9.23201 0.0355582
274 3 -3.05582 0.0702971
275 3 -8.09764 0.0461466
277 3 -9.29545 0.131094
279 3 -9.02367 0.0806491
280 3 -9.4545 0.0413067
702 1 -8.68328 0.0231892
706 1 -9.78182 0.144726
707 1 -8.88437 0.0257698
711 2 -36.0892 0.0520861
716 3 -8.67183 0.0757894
719 3 -9.30789 0.00960557
722 3 -6.16246 0.00306294
723 3 -8.32156 0.0307864
727 3 -8.93632 0.0755148
729 1 -4.80042 0.0276102
227 1 -4.89115 0.0524944
701 1 -6.5152 0.0153935
287 1 -8.81796 0.0669341
286 1 -7.82645 0.046373
289 2 -34.8223 0.00912548
293 3 -8.63998 0.0264503
284 1 -8.17073 0.0390363
285 1 -8.11341 0.157774
292 2 -24.0273 0.0533252
297 3 -12.3461 0.0069166
288 1 -9.12044 0.0530201
300 3 -9.00845 0.0458338
298 3 -9.61414 0.0367066
739 2 -35.3122 0.017115
299 3 -8.99999 0.0116159
295 3 -11.5531 0.0394751
307 3 -10.3037 0.0469744
294 3 -9.03562 0.0293334
296 3 -9.36214 0.0168985
302 3 -7.93729 0.0134341
313 1 -8.05925 0.0287368
305 3 -9.37538 0.0669183
301 3 -9.0804 0.014014
291 2 -34.5247 0.0522254
747 3 -8.81258 0.00609257
319 2 -33.9936 0.0290606
734 1 -8.85856 0.212745
751 3 -8.80126 0.00617963
750 3 -7.17813 0.0683719
311 1 -3.30784 0.0122231
312 1 -8.84387 0.00218824
755 3 -9.41617 0.0352201
322 3 -8.66343 0.0294801
317 2 -36.2608 0.0031401
308 3 -13.0928 0.0565606
735 1 -9.26305 0.0155895
316 1 -8.76061 0.0979019
744 3 -9.30276 0.054465
330 3 -9.15011 0.0362738
324 3 -9.21258 0.00767658
328 3 -9.0154 0.115284
315 1 -9.49571 0.0080928
320 2 -34.2264 0.0166224
321 3 -9.06855 0.0262522
333 3 -9.61164 0.0594645
331 3 -9.25538 0.06061
758 1 -8.95005 0.0441203
314 1 -9.69758 0.0151229
303 3 -9.26667 0.0348687
